Crime_ID,Date,Year,City,State,Crime_Category,Crime_Type,Severity,Cases_Reported,Case_Status
CR00001,2025-07-18,2025,Srinagar,J&K,Property,Theft,High,68,Chargesheet Filed
CR00002,2020-03-01,2020,Ahmedabad,Gujarat,Cyber,Phishing,High,37,Open
CR00003,2022-03-02,2022,Guwahati,Assam,Traffic,Hit and Run,Low,183,Under Investigation
CR00004,2022-07-28,2022,Kanpur,Uttar Pradesh,Violent,Robbery,High,482,Under Investigation
CR00005,2020-08-22,2020,Gurugram,Haryana,Property,Burglary,Low,425,Under Investigation
CR00006,2022-08-13,2022,Ludhiana,Punjab,Violent,Robbery,High,460,Closed
CR00007,2023-06-07,2023,Lucknow,Uttar Pradesh,Violent,Assault,High,493,Chargesheet Filed
CR00008,2024-02-27,2024,Jaipur,Rajasthan,Cyber,UPI Fraud,Low,390,Chargesheet Filed
CR00009,2020-04-01,2020,Udaipur,Rajasthan,Property,Burglary,Low,430,Closed
CR00010,2022-10-26,2022,Surat,Gujarat,Violent,Robbery,Medium,185,Chargesheet Filed
CR00011,2026-03-24,2026,Ludhiana,Punjab,Women,Harassment,Medium,378,Closed
CR00012,2024-07-11,2024,Siliguri,West Bengal,Traffic,Hit and Run,Low,418,Under Investigation
CR00013,2021-03-09,2021,Dehradun,Uttarakhand,Traffic,Drunk Driving,Medium,306,Chargesheet Filed
CR00014,2023-08-03,2023,Dhanbad,Jharkhand,Cyber,Phishing,High,280,Open
CR00015,2023-06-02,2023,Hyderabad,Telangana,Women,Harassment,Low,305,Closed
CR00016,2025-08-28,2025,Jabalpur,Madhya Pradesh,Violent,Assault,Low,187,Under Investigation
CR00017,2020-02-03,2020,Noida,Uttar Pradesh,Violent,Assault,Low,216,Open
CR00018,2025-01-23,2025,Coimbatore,Tamil Nadu,Property,Theft,Low,442,Open
CR00019,2025-07-27,2025,Raipur,Chhattisgarh,Violent,Assault,Low,101,Closed
CR00020,2024-12-21,2024,Srinagar,J&K,Traffic,Drunk Driving,Medium,311,Under Investigation
CR00021,2024-04-21,2024,Shimla,Himachal Pradesh,Women,Stalking,High,345,Chargesheet Filed
CR00022,2020-11-19,2020,Tiruchirappalli,Tamil Nadu,Violent,Robbery,Low,474,Open
CR00023,2025-02-11,2025,Guntur,Andhra Pradesh,Cyber,UPI Fraud,High,28,Open
CR00024,2022-09-06,2022,Ludhiana,Punjab,Women,Stalking,High,221,Open
CR00025,2025-12-18,2025,Siliguri,West Bengal,Violent,Assault,High,432,Open
CR00026,2023-04-13,2023,Kanpur,Uttar Pradesh,Violent,Assault,High,198,Chargesheet Filed
CR00027,2023-05-05,2023,Srinagar,J&K,Violent,Robbery,High,320,Chargesheet Filed
CR00028,2021-01-20,2021,Noida,Uttar Pradesh,Traffic,Drunk Driving,Low,303,Closed
CR00029,2023-01-22,2023,Thiruvananthapuram,Kerala,Violent,Assault,High,344,Open
CR00030,2023-06-01,2023,Tiruchirappalli,Tamil Nadu,Traffic,Drunk Driving,High,15,Closed
CR00031,2022-01-25,2022,Vijayawada,Andhra Pradesh,Traffic,Drunk Driving,Medium,412,Closed
CR00032,2021-12-10,2021,Shimla,Himachal Pradesh,Traffic,Drunk Driving,High,487,Under Investigation
CR00033,2020-04-22,2020,Mumbai,Maharashtra,Property,Theft,Medium,23,Open
CR00034,2026-11-20,2026,Nashik,Maharashtra,Traffic,Hit and Run,Medium,499,Closed
CR00035,2026-03-02,2026,Gurugram,Haryana,Cyber,UPI Fraud,High,150,Open
CR00036,2026-07-06,2026,Noida,Uttar Pradesh,Violent,Assault,High,341,Open
CR00037,2020-01-19,2020,Aurangabad,Maharashtra,Violent,Robbery,Low,322,Under Investigation
CR00038,2021-08-01,2021,Tiruchirappalli,Tamil Nadu,Women,Harassment,Medium,89,Chargesheet Filed
CR00039,2024-04-24,2024,Jammu,J&K,Property,Burglary,High,132,Chargesheet Filed
CR00040,2020-11-26,2020,Agra,Uttar Pradesh,Women,Stalking,Low,403,Chargesheet Filed
CR00041,2023-10-21,2023,Shimla,Himachal Pradesh,Cyber,Phishing,High,22,Open
CR00042,2020-01-30,2020,Varanasi,Uttar Pradesh,Violent,Robbery,Medium,66,Open
CR00043,2024-06-23,2024,Raipur,Chhattisgarh,Cyber,Phishing,Medium,438,Open
CR00044,2021-11-06,2021,Lucknow,Uttar Pradesh,Violent,Robbery,High,50,Closed
CR00045,2022-07-29,2022,Nashik,Maharashtra,Property,Burglary,Medium,143,Closed
CR00046,2020-04-08,2020,Mysuru,Karnataka,Women,Stalking,Low,454,Under Investigation
CR00047,2024-11-24,2024,Jodhpur,Rajasthan,Traffic,Hit and Run,Low,308,Closed
CR00048,2020-06-27,2020,Coimbatore,Tamil Nadu,Cyber,Phishing,Medium,210,Closed
CR00049,2023-12-30,2023,Indore,Madhya Pradesh,Property,Theft,Medium,332,Open
CR00050,2022-11-21,2022,Ranchi,Jharkhand,Property,Theft,Low,207,Under Investigation
CR00051,2024-04-14,2024,Kochi,Kerala,Women,Harassment,High,178,Under Investigation
CR00052,2022-03-31,2022,Vijayawada,Andhra Pradesh,Women,Stalking,Low,177,Open
CR00053,2020-08-30,2020,Bengaluru,Karnataka,Traffic,Hit and Run,Medium,202,Closed
